Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	gender	age	source	country
3	3	1	4	3	4	3	2	3	3	1	40	1	US
4	4	1	3	1	3	3	2	3	2	1	36	1	US
2	3	2	3	3	3	2	3	3	3	2	22	1	US
4	3	2	3	2	3	2	3	3	3	1	31	1	US
4	4	1	4	1	4	4	1	1	1	1	30	1	EU
4	4	1	3	1	3	4	2	2	1	2	25	1	CA
4	4	2	4	2	2	3	4	3	3	1	32	1	US
1	1	4	1	4	1	1	1	4	4	1	51	3	US
4	4	2	4	1	4	3	1	1	1	1	37	1	US
3	4	1	3	2	3	3	2	1	1	2	41	1	US
4	4	3	4	3	3	2	2	3	3	1	42	1	US
3	3	3	3	3	2	3	3	4	4	2	31	1	SE
3	4	3	3	3	1	1	4	3	1	2	31	3	GB
4	4	1	3	1	4	4	1	1	1	1	27	3	US
3	4	2	3	3	2	1	2	4	3	1	29	3	GB
4	4	1	4	1	4	4	2	1	1	1	18	3	GB
2	3	4	4	3	2	2	4	4	4	2	19	3	NZ
2	2	3	2	2	2	2	3	3	3	1	19	3	CA
4	4	2	3	3	2	2	3	3	3	1	28	3	DE
3	3	3	2	3	2	2	3	2	3	2	34	3	AE
4	4	1	3	3	3	2	3	4	4	2	51	3	US
2	3	4	3	3	1	1	4	3	3	2	22	3	BE
3	3	4	3	3	3	4	4	2	2	1	54	3	GB
3	3	3	2	3	3	3	2	4	3	1	27	1	DE
3	2	4	3	4	2	1	4	4	4	1	26	3	US
3	3	2	3	2	2	2	3	3	3	2	33	3	GB
4	3	2	4	2	4	4	3	3	4	1	0	3	IN
4	4	1	4	1	4	4	1	1	4	1	25	3	IN
4	4	1	4	1	3	4	2	1	1	1	38	1	US
4	4	1	4	1	3	4	1	1	1	2	46	1	US
3	4	1	4	2	4	3	2	4	1	1	33	1	US
1	1	4	2	4	1	1	4	4	4	1	19	1	US
2	3	2	3	3	1	2	4	3	3	1	23	3	US
2	3	4	2	3	1	2	4	1	1	2	35	3	US
2	3	3	2	2	2	1	3	4	3	1	33	3	US
3	3	2	3	3	3	3	4	4	4	2	22	1	US
4	4	2	4	2	3	3	1	1	1	2	35	1	US
3	3	2	4	3	3	3	4	3	1	2	43	1	US
3	3	2	2	3	3	3	2	3	3	0	0	3	NZ
3	3	3	2	3	2	2	3	3	3	2	49	3	US
2	3	2	2	3	2	2	4	4	3	1	25	3	HU
4	4	1	4	1	4	4	1	3	2	2	56	3	GB
4	4	1	4	1	4	4	1	1	1	1	24	3	US
3	3	3	2	3	2	2	4	4	3	1	36	3	FR
3	3	2	4	2	2	3	3	3	2	2	38	1	BE
1	1	4	2	4	2	1	4	4	4	1	26	3	SG
2	3	2	1	3	1	2	4	3	2	2	0	3	US
4	4	1	4	1	4	4	1	1	1	1	29	1	US
4	4	1	4	1	4	4	1	1	1	1	66	3	US
3	3	3	3	3	2	2	4	3	3	2	48	1	MX
3	2	3	3	3	2	2	3	3	3	1	28	3	US
3	3	2	3	2	3	4	2	3	2	1	21	1	US
3	3	2	4	2	3	3	2	2	2	1	32	3	GB
4	4	1	4	1	4	3	2	1	1	3	22	1	PL
4	4	2	4	1	3	3	4	2	1	1	54	1	CA
2	4	2	2	3	3	2	4	3	2	2	49	1	CA
3	3	3	3	4	2	2	3	3	3	1	54	3	AU
4	4	1	4	1	4	4	1	1	1	1	23	3	CA
3	3	3	3	3	2	2	4	3	3	2	22	1	CA
4	0	1	4	1	4	4	1	1	1	1	23	3	AU
2	3	3	3	3	2	2	3	2	3	2	21	3	AL
4	4	2	4	2	3	2	2	3	2	1	29	3	US
4	4	3	3	3	2	2	3	1	3	2	15	1	BR
4	3	2	2	2	1	1	2	1	1	1	32	1	US
3	3	2	3	2	3	3	3	2	2	1	40	3	AE
3	3	4	3	2	1	1	4	3	4	1	22	3	DE
3	3	3	3	2	1	1	4	3	3	1	22	3	DE
3	2	2	2	4	3	4	3	3	4	2	22	3	RO
4	3	2	3	2	3	3	2	2	3	1	22	3	RO
3	3	1	3	1	3	3	3	3	1	1	38	3	PT
4	4	1	4	1	4	4	1	1	1	2	34	3	GB
4	3	2	3	2	2	2	3	3	3	2	26	1	AU
3	3	2	3	2	2	2	3	3	3	2	40	3	GB
3	4	1	3	4	3	3	1	1	1	2	26	3	GB
3	3	2	3	4	1	1	4	3	4	1	29	1	CA
2	3	2	2	3	2	1	3	4	3	2	28	3	US
4	4	2	4	1	3	3	2	1	1	1	45	3	US
3	3	2	3	2	2	2	2	2	2	1	20	3	US
4	4	2	3	2	3	4	1	2	2	2	16	3	AU
4	3	1	4	1	3	3	2	1	1	1	30	1	SE
3	3	1	4	1	3	3	2	1	1	1	44	3	NL
4	3	1	3	2	3	3	3	3	2	1	40	3	GB
2	3	2	4	2	3	3	4	4	4	2	43	1	GB
2	2	4	2	4	1	1	4	4	4	2	39	1	BE
3	3	2	2	3	2	3	2	3	3	1	31	3	ZA
4	4	1	4	1	4	3	1	2	1	2	41	1	MX
3	2	3	1	4	2	2	3	4	3	2	14	3	US
4	4	1	4	3	2	2	4	1	1	2	60	3	US
4	4	1	4	1	3	4	1	3	3	2	39	1	CA
1	3	3	4	3	2	3	1	2	3	1	22	1	AU
3	1	4	2	4	1	1	4	4	4	1	15	1	US
3	4	2	4	2	3	1	3	3	3	1	27	1	US
4	4	1	4	2	4	3	4	2	1	2	27	3	MY
4	4	1	4	2	4	3	2	2	2	1	20	1	US
3	3	3	2	2	3	2	3	2	3	1	30	3	GB
3	3	1	3	2	3	0	3	2	2	2	27	3	US
3	3	2	3	1	4	4	2	1	1	2	0	3	US
3	4	1	3	2	3	3	3	2	1	2	27	3	US
3	4	2	3	2	3	3	2	3	3	1	44	3	GB
4	0	2	4	2	3	3	3	3	4	2	23	3	CA
4	3	1	3	2	3	3	2	1	2	2	21	3	ID
3	0	0	0	0	0	0	0	0	0	2	22	3	US
3	3	3	2	3	2	2	4	3	2	2	16	3	US
3	3	2	4	1	3	3	3	3	1	1	21	1	MX
4	3	1	4	1	3	4	3	2	1	2	21	2	CN
3	3	2	3	2	2	3	3	2	3	2	51	3	GB
2	3	2	3	2	3	2	3	0	3	2	35	3	BR
3	3	2	3	2	2	2	3	3	3	2	33	1	DE
3	4	4	4	2	3	2	4	4	1	2	58	3	US
4	3	3	4	1	3	3	2	3	3	1	41	1	NL
3	3	2	3	3	2	2	3	2	3	2	21	3	US
2	2	4	2	4	1	1	2	4	4	1	19	1	US
4	4	1	4	1	4	4	1	1	1	2	66	3	US
2	2	3	2	3	2	2	3	4	4	1	39	1	US
4	4	1	3	1	3	4	1	1	1	1	31	3	GB
4	4	1	4	1	4	4	3	3	1	2	27	3	KR
3	3	1	3	1	3	3	1	3	2	2	30	3	PT
4	4	2	3	4	4	3	2	1	1	2	21	3	US
4	3	2	2	2	2	2	3	3	3	2	20	3	US
4	4	1	3	2	4	3	2	3	2	1	62	1	US
2	3	3	3	3	2	2	3	3	3	1	18	3	TR
2	2	3	2	3	2	2	3	3	3	2	19	3	US
3	4	2	4	2	3	3	2	3	2	2	35	1	US
3	3	4	3	2	3	4	1	3	2	1	35	3	BG
3	4	3	4	3	2	2	4	2	2	2	40	3	US
4	4	3	2	3	2	2	3	3	2	1	46	1	US
4	3	3	2	2	2	2	2	3	1	2	23	3	US
3	4	2	3	2	3	3	3	3	2	2	14	1	ES
3	3	2	3	3	2	2	2	2	2	1	49	1	GB
4	4	1	4	1	3	3	1	2	1	2	51	3	DE
4	4	1	4	1	4	4	4	1	1	1	20	1	US
4	4	2	2	3	3	1	4	3	3	1	23	3	US
3	4	2	3	2	3	3	2	2	2	1	21	1	NZ
3	3	3	3	3	2	1	2	3	3	1	49	3	IL
2	2	4	4	2	2	2	4	4	3	2	34	1	US
2	3	3	3	3	2	1	3	3	3	1	22	1	US
3	3	2	3	2	3	3	2	1	1	1	33	3	GB
2	3	2	4	1	4	4	3	3	3	2	24	3	PL
2	2	1	1	1	1	1	3	1	1	1	19	3	US
4	4	1	4	3	3	3	3	1	1	2	55	3	AU
4	3	2	3	3	2	2	3	1	1	1	21	1	MX
2	3	3	3	4	2	2	4	3	3	1	62	3	US
2	3	2	3	2	2	3	3	2	3	2	23	3	NL
3	3	2	3	2	3	3	2	4	2	1	34	1	NL
4	4	1	4	1	3	2	4	2	1	2	39	3	CA
4	4	4	4	4	2	2	3	4	4	1	45	3	US
3	3	3	3	2	2	2	4	3	3	2	41	1	US
3	3	2	3	2	3	3	3	2	2	2	20	3	US
3	3	3	3	3	2	2	3	3	4	2	29	3	US
4	4	1	4	4	4	4	2	1	1	2	28	3	PL
3	3	1	3	1	3	3	4	2	2	2	39	1	DE
1	3	3	2	2	4	3	4	2	2	2	25	3	ID
4	4	1	4	1	3	2	2	1	1	1	29	1	DE
3	4	4	2	3	2	1	4	4	4	1	49	3	IN
3	3	3	3	2	2	3	1	3	3	1	22	3	CA
2	3	3	2	4	2	2	3	2	2	2	45	1	US
1	1	4	3	4	2	2	3	4	4	2	39	1	GB
4	4	2	3	3	3	3	2	2	1	1	51	3	US
4	4	1	4	2	3	3	2	2	2	2	45	3	US
3	3	2	3	2	3	3	3	3	2	2	43	3	AU
4	4	4	4	4	3	1	2	1	2	2	33	1	US
3	3	3	2	2	2	2	3	3	3	2	46	1	US
2	2	3	2	4	2	1	4	3	3	1	16	1	CA
4	3	2	3	2	2	2	3	1	3	2	26	3	US
3	3	3	3	2	3	2	3	3	3	1	39	1	ZA
3	3	2	3	2	3	3	3	2	3	1	44	1	US
4	4	2	4	2	3	3	3	3	3	1	26	3	US
4	4	1	4	1	4	4	1	1	1	1	21	1	US
4	4	1	3	2	3	3	2	2	2	1	23	3	AU
2	2	3	2	4	1	1	4	4	4	1	41	3	US
4	4	1	4	1	4	4	1	1	1	1	35	1	HK
3	3	1	3	2	4	4	1	3	1	1	20	3	GB
3	3	3	2	2	3	2	4	3	3	2	18	3	US
3	3	2	3	3	2	2	4	1	1	2	42	1	US
3	4	2	3	2	3	3	3	2	2	1	44	3	AU
3	4	1	3	2	3	3	3	3	3	1	44	3	AU
3	3	2	3	4	3	3	3	4	3	2	34	1	AU
4	4	1	3	1	3	3	3	2	2	1	32	3	US
4	4	2	4	1	3	3	3	2	2	1	61	1	CA
2	3	3	2	3	2	1	3	1	4	1	28	3	GB
4	4	1	3	1	3	4	3	2	1	2	21	3	US
3	3	3	3	3	2	1	4	4	4	2	27	1	CA
3	4	3	4	3	4	4	4	4	4	1	39	3	US
3	4	1	4	2	4	3	2	2	2	1	39	3	US
2	1	4	2	4	2	1	4	4	4	2	33	3	DE
3	3	3	2	4	1	1	4	4	4	1	41	3	BE
4	4	1	4	1	4	3	2	2	1	2	54	1	US
3	3	3	2	2	2	2	3	3	3	2	44	1	US
4	4	1	4	1	4	4	1	1	1	1	32	3	GR
1	4	4	2	4	1	1	4	4	4	1	27	3	GB
4	4	1	4	1	4	4	1	1	1	2	13	1	US
3	4	1	4	1	3	3	2	1	1	2	19	1	PH
